Category,AvgTF,IDF,AvgTF*IDF,BusinessCnt,MRSE
Fish & Chips,0.39880952380952384,6.714257211312031,2.6777097211780125,14,1.390938799445056
Fondue,0.4375,7.967020179807399,3.485571328665737,4,1.1704609948314273
Body Shops,0.4197530864197531,6.057477674922961,2.542644949967663,27,1.2404698432846994
Acupuncture,0.337037037037037,7.156089963591071,2.4118673580992125,9,1.002766257013561
French,0.324084249084249,6.095218002905808,1.9753641494765246,26,1.163451470018432
Baby Gear & Furniture,0.2994047619047619,6.0211100307520855,1.8027490151597017,28,1.3058101577021566
Vegetarian,0.26904761904761904,5.797966479437876,1.5599290766106666,35,1.0308685696961017
Furniture Reupholstery,0.28095238095238095,8.25470225225918,2.3191782518251984,3,1.1079259903080168
Public Services & Government,0.5321596244131456,5.090634663885974,2.7090302307580996,71,1.2905230624855661
Discount Store,0.4,6.714257211312031,2.6857028845248125,14,1.4729226503068142
Middle Schools & High Schools,0.3333333333333333,7.156089963591071,2.3853633211970235,9,1.590789817951435
Adult Entertainment,0.4666666666666666,7.743876628493189,3.613809093296821,5,1.4037849710329424
Delis,0.32054794520547963,4.369707919218953,1.4007008946537476,146,1.1722228849468488
Sandwiches,0.36316172193135515,3.4078939323207145,1.2376166286210077,382,1.1188202369827722
Marketing,0.4444444444444444,8.25470225225918,3.668756556559636,3,0.25753937681885636
Hot Dogs,0.37089947089947084,5.210179814535757,1.9324529365024155,63,1.1211927083378734
Irish,0.21172161172161172,6.788365183465753,1.4372436175982435,13,1.084152040799549
Filipino,0.36388888888888893,6.868407891139289,2.4993373159423524,12,1.068810127423498
Elementary Schools,0.29888888888888887,6.645264339825079,1.9861956749032736,15,1.5781527295340743
Parking,0.39,7.743876628493189,3.020111885112344,5,1.3662021813378076
Gastropubs,0.35555555555555557,7.156089963591071,2.5443875426101585,9,1.0232757513380255
Desserts,0.3287499999999998,4.9712879062534086,1.634310899180807,80,1.1805293699448598
Optometrists,0.33434343434343433,5.856806979460809,1.958184959799523,33,1.3084525770125002
Art Schools,0.20857142857142857,7.743876628493189,1.6151514110857224,5,1.3490518433731786
Motorcycle Repair,0.4444444444444444,8.25470225225918,3.668756556559636,3,1.7303418275695372
Hardware Stores,0.2925595238095238,5.32796285019214,1.558746274327046,56,1.280755217777252
Orthodontists,0.23859649122807022,6.4088755617608495,1.5291352217534662,19,1.5725198121349009
Solar Installation,0.27777777777777773,8.25470225225918,2.292972847849772,3,1.1965860528261985
Cocktail Bars,0.3333333333333333,9.35331454092729,3.1177715136424298,1,0.816496580927726
Skin Care,0.29882498453927026,5.009509119073606,1.4969664850565036,77,1.2494437234559839
Weight Loss Centers,0.2518518518518518,7.156089963591071,1.8022745093488621,9,1.4008743625292874
Soup,0.25833333333333336,7.050729447933244,1.8214384407160882,10,1.1026011303045262
Tires,0.40554150863885396,4.625926722214949,1.876005301779839,113,1.5894605515621376
Cheesesteaks,0.34375,7.273872999247454,2.500393843491312,8,1.2447785683447992
Swimwear,0.29166666666666663,8.660167360367344,2.5258821467738084,2,0.7
Asian Fusion,0.3517543859649122,5.022581200640959,1.766714966190372,76,1.1821774665215845
Florists,0.2656845238095238,5.664435086813353,1.5049527386899642,40,1.301016936638308
Flowers & Gifts,0.26656194885361534,5.076648421911234,1.3532412969892895,72,1.2518708485546464
Wedding Planning,0.27157287157287163,6.955419268128919,1.8889031836390517,11,1.0748836515042457
Vegan,0.26749999999999996,6.3575822673732985,1.700653256522357,20,1.080817720168213
Archery,0.5,8.660167360367344,4.330083680183672,2,1.299038105676658
Gas & Service Stations,0.4193939393939394,5.345981355694819,2.2420721806914026,55,1.464475676775029
Eyewear & Opticians,0.37142857142857144,5.797966479437876,2.153530406648354,35,1.4338621214188838
Performing Arts,0.35156525573192227,5.364330494363015,1.8859122220812825,54,1.0008139418872277
Dance Studios,0.24175170068027213,6.714257211312031,1.6231830996394647,14,0.7470464769553964
Dim Sum,0.2708333333333333,7.967020179807399,2.1577346320311706,4,1.1475363740780058
Massage Therapy,0.3366666666666666,7.050729447933244,2.373745580804192,10,1.081536972193841
Tanning,0.41767676767676765,5.856806979460809,2.4462522080879237,33,1.3497429573802142
Comic Books,0.2696969696969697,6.955419268128919,1.8758554995862844,11,1.1100550536897809
Uniforms,0.5,9.35331454092729,4.676657270463645,1,0.4714045207910317
Hiking,0.4416666666666666,6.3575822673732985,2.8079321680898732,20,0.7792448288736995
Hats,0.3333333333333333,9.35331454092729,3.1177715136424298,1,1.699673171197595
Musical Instruments & Teachers,0.4318181818181818,6.262272087568974,2.704162946904784,22,1.1205373919758819
Formal Wear,0.25,9.35331454092729,2.3383286352318224,1,1.16619037896906
Do-It-Yourself Food,0.287037037037037,7.156089963591071,2.0540628599196586,9,1.181453906563152
Soccer,0.25,9.35331454092729,2.3383286352318224,1,0.4714045207910317
Auto Glass Services,0.3484848484848485,5.856806979460809,2.0410084928424035,33,1.6777449630064925
Advertising,0.25,9.35331454092729,2.3383286352318224,1,0.0
Smog Check Stations,0.5,7.967020179807399,3.9835100899036995,4,1.2892719737209144
Diners,0.39863387978142073,5.242440676753978,2.0898144664983755,61,1.1831926272224778
Neurologist,0.25,9.35331454092729,2.3383286352318224,1,1.5491933384829668
Beauty & Spas,0.4188107703814508,2.714746751760769,1.1369651784954689,764,1.3274724276719285
Post Offices,0.5,6.3575822673732985,3.1787911336866492,20,1.4682121036751763
Parks,0.3965447154471543,4.946595293663036,1.9615462231578416,82,0.9241501138459995
Fast Food,0.3727547495682205,3.3974771714624588,1.266425752212235,386,1.3362818994317038
Thai,0.46075949367088614,4.983866688460268,2.296363891898149,79,1.1329589593651659
Mass Media,0.5238095238095238,6.308792103203866,3.3046053873925016,21,1.4697367766626344
Midwives,0.4166666666666667,8.25470225225918,3.4394592717746586,3,1.6842608746502281
Windshield Installation & Repair,0.28703703703703703,7.156089963591071,2.054062859919659,9,1.81273579992574
Auto Parts & Supplies,0.40238095238095245,5.797966479437876,2.3329912738690504,35,1.4852350647898918
Home Theatre Installation,0.29166666666666663,8.660167360367344,2.5258821467738084,2,0.17399263633843817
Food Stands,0.3333333333333333,6.868407891139289,2.2894692970464297,12,0.7907889852774641
Latin American,0.4333333333333333,6.308792103203866,2.7338099113883416,21,1.0285184804508398
Arcades,0.21601731601731597,6.955419268128919,1.5024910020763333,11,1.2158288343875099
Tree Services,0.47222222222222215,7.561555071699234,3.570734339413527,6,1.4000211325539456
Home Decor,0.2423448773448773,5.345981355694819,1.2955711959338616,55,1.2053523539639517
Photography Stores & Services,0.37121212121212127,6.955419268128919,2.581935940441796,11,1.4742669183691433
Pets,0.4028225806451612,3.8398857947623077,1.5467927052288486,248,1.3263206567854544
Laboratory Testing,0.3333333333333333,8.660167360367344,2.886722453455781,2,1.247219128924647
Medical Centers,0.3922619047619048,6.0211100307520855,2.361852089443824,28,1.5377101530499484
Martial Arts,0.29583333333333334,6.580725818687508,1.9467980546950545,16,1.195935066218983
IT Services & Computer Repair,0.32391304347826094,6.21782032499814,2.014033105271137,23,1.414901539606911
Carpet Installation,0.3333333333333333,9.35331454092729,3.1177715136424298,1,1.8856180831641267
Gun/Rifle Ranges,0.5,7.967020179807399,3.9835100899036995,4,1.1827040742872412
Golf Equipment,0.26666666666666666,8.660167360367344,2.309377962764625,2,1.2688577540449522
Antiques,0.39671052631578946,5.715728381200904,2.267489614384306,38,1.1526173237778343
Ophthalmologists,0.2333333333333333,8.25470225225918,1.9260971921938086,3,0.9910845174403944
Botanical Gardens,0.25,9.35331454092729,2.3383286352318224,1,0.7792710142238495
Radio Stations,0.5,7.050729447933244,3.525364723966622,10,1.4028942386715968
Food Trucks,0.25,8.25470225225918,2.063675563064795,3,0.8213137116947163
African,0.41666666666666663,8.660167360367344,3.6084030668197267,2,1.0962728031639368
Investing,0.3333333333333333,9.35331454092729,3.1177715136424298,1,0.0
Salad,0.29074074074074074,7.156089963591071,2.0805668968218485,9,1.15399817450268
Internet Cafes,0.3333333333333333,8.660167360367344,2.886722453455781,2,1.1079259903080168
Pakistani,0.29901960784313725,6.520101196871074,1.9496381029859582,17,1.1827001181039514
Personal Chefs,0.5,9.35331454092729,4.676657270463645,1,0.3499271061118826
Piano Bars,0.225,8.660167360367344,1.9485376560826526,2,1.2777730600758321
General Dentistry,0.28864468864468834,4.84245503441044,1.397748925683305,91,1.453479676754854
Pest Control,0.4522727272727272,6.262272087568974,2.8322548759686947,22,1.6030479091147323
Financial Services,0.4260606060606059,5.345981355694819,2.2777120563960342,55,1.744096250435766
Real Estate Agents,0.28148148148148144,7.156089963591071,2.0143068045663752,9,0.8156132131683563
Landmarks & Historical Buildings,0.3152777777777778,6.868407891139289,2.1654563767897486,12,1.101528238430215
Skating Rinks,0.35666666666666663,7.743876628493189,2.7619826641625704,5,1.0522146032904671
Diagnostic Imaging,0.3333333333333333,9.35331454092729,3.1177715136424298,1,1.699673171197595
Window Washing,0.41666666666666663,7.743876628493189,3.226615261872162,5,1.3243499020249794
Personal Shopping,0.25,8.660167360367344,2.165041840091836,2,0.968297474952816
Insurance,0.4388888888888889,7.156089963591071,3.140728372909414,9,1.1578771620935029
Plus Size Fashion,0.25,9.35331454092729,2.3383286352318224,1,0.6849348892187751
Mobile Phones,0.30238095238095253,5.10481929887793,1.543600121327375,70,1.481945973575802
Playgrounds,0.29166666666666663,7.273872999247454,2.121546291447174,8,0.604156939938315
Video/Film Production,0.375,8.660167360367344,3.247562760137754,2,0.0
Electricians,0.41666666666666663,6.955419268128919,2.8980913617203825,11,0.19722323674765418
Real Estate Services,0.27187500000000003,6.580725818687508,1.7891348319556666,16,1.184205957593526
Session Photography,0.3333333333333333,8.660167360367344,2.886722453455781,2,1.4907119849998598
Watch Repair,0.35833333333333334,7.561555071699234,2.709557234025559,6,1.2162606385262993
Hookah Bars,0.3125,7.967020179807399,2.489693806189812,4,1.3693063937629153
Kosher,0.375,8.660167360367344,3.247562760137754,2,0.9961167204249002
Professional Services,0.3370892018779344,5.090634663885974,1.7159979759014699,71,1.6464913394781955
Fertility,0.25,8.660167360367344,2.165041840091836,2,1.8540496217739157
Horseback Riding,0.425,7.050729447933244,2.9965600153716285,10,0.8499776469856754
Departments of Motor Vehicles,0.5,7.407404391871976,3.703702195935988,7,1.451385456342794
Boating,0.4166666666666667,7.561555071699234,3.1506479465413477,6,0.8532467330761989
Breweries,0.27247619047619054,6.134438716059089,1.671488492061434,25,1.0625635415245265
Windows Installation,0.3333333333333333,7.967020179807399,2.655673393269133,4,1.6509462688914014
Kitchen & Bath,0.23555555555555552,6.3575822673732985,1.4975638229812656,20,1.028617807733647
Tax Services,0.25,8.25470225225918,2.063675563064795,3,0.0
Cinema,0.4633241758241758,5.402070822345863,2.5029100115072245,52,1.1225781885108066
Apartments,0.32329317269076274,4.9344739331306915,1.595281733401688,83,1.5324696119749408
Festivals,0.4447368421052631,6.4088755617608495,2.8502630787831142,19,1.405756132675745
Hobby Shops,0.318452380952381,6.1752607105793444,1.9665264762856842,24,1.2597238899428205
Pawn Shops,0.38095238095238093,7.407404391871976,2.8218683397607527,7,1.6447814816713433
Printing Services,0.34909909909909925,5.742396628283065,2.004665489603323,37,1.544943942648467
Makeup Artists,0.3560606060606061,6.955419268128919,2.4765508000156,11,1.1390785749894519
Bowling,0.33478260869565213,6.21782032499814,2.081618108803725,23,1.1288033379423976
Swimming Lessons/Schools,0.1933333333333333,7.743876628493189,1.497149481508683,5,0.8227867216308778
Animal Shelters,0.41666666666666663,7.050729447933244,2.9378039366388515,10,1.1390531150083523
Pubs,0.21096345514950166,5.592114425233727,1.1797317807386767,43,1.0753854565147298
Travel Services,0.42142857142857143,7.407404391871976,3.121691850860333,7,1.5
Guns & Ammo,0.4166666666666667,7.743876628493189,3.2266152618721624,5,1.1851840670516718
Rafting/Kayaking,0.4444444444444444,8.25470225225918,3.668756556559636,3,1.2868930608251794
Tours,0.3818840579710145,6.21782032499814,2.374486457444942,23,1.0056846589043067
Cambodian,0.5,9.35331454092729,4.676657270463645,1,0.9157671956224878
Zoos,0.4444444444444444,8.25470225225918,3.668756556559636,3,0.9751360296556192
Turkish,0.4444444444444444,8.25470225225918,3.668756556559636,3,1.2064986163596796
Event Planning & Services,0.31294281509513255,3.2374224154442555,1.013128084341209,453,1.2163987645976113
Tobacco Shops,0.47105263157894733,5.715728381200904,2.6924088953551624,38,1.2226058715137598
Tea Rooms,0.2972222222222222,7.561555071699234,2.247462201866161,6,0.9255132439664425
Knitting Supplies,0.2,9.35331454092729,1.870662908185458,1,0.5
Television Service Providers,0.25,7.561555071699234,1.8903887679248086,6,1.4966629547095767
Food,0.39081088912462764,1.965605301846249,0.7681799556826147,1616,1.1354271945738363
Shipping Centers,0.3953488372093023,5.592114425233727,2.21083593555752,43,1.5994832961960843
Graphic Design,0.3333333333333333,7.273872999247454,2.4246243330824844,8,0.8538789577942648
Health & Medical,0.3572237387524017,3.198456446910872,1.1425645702022245,471,1.5251287648158294
Professional Sports Teams,0.45,7.743876628493189,3.4847444828219354,5,1.335299656498211
Gay Bars,0.2926282051282051,6.095218002905808,1.7836327040554494,26,1.1948220898480584
American (New),0.34991621281943874,3.521432063643773,1.2322061714111698,341,1.1117485638439661
Cooking Schools,0.25555555555555554,7.561555071699234,1.9323974072120265,6,1.463084600932636
Italian,0.3855241716458443,3.781160508749525,1.4577287729956399,263,1.1468877910754507
Landscaping,0.4424242424242424,6.262272087568974,2.7705809841971822,22,1.698739749123971
Bankruptcy Law,0.20000000000000004,8.25470225225918,1.6509404504518363,3,1.0110500592068734
Food Delivery Services,0.2991666666666667,6.3575822673732985,1.9019766949891785,20,1.3222589318877198
Dance Clubs,0.3078947368421052,5.715728381200904,1.7598426857908045,38,1.261312962529465
Amusement Parks,0.32023809523809516,6.0211100307520855,1.9281888074670364,28,1.2035797272731261
Hot Tub & Pool,0.3,7.273872999247454,2.182161899774236,8,1.501478561226395
Specialty Schools,0.251686507936508,5.76979560247118,1.4521797066933915,36,1.3262912898449948
Outlet Stores,0.312962962962963,7.156089963591071,2.2395911182349835,9,1.3242329461582234
Kids Activities,0.41666666666666663,8.660167360367344,3.6084030668197267,2,1.0497813183356477
Sports Clubs,0.4083333333333334,7.561555071699234,3.087634987610521,6,1.4106735979665885
Landscape Architects,0.3055555555555555,8.25470225225918,2.522270132634749,3,1.7775723089678988
Office Cleaning,0.2708333333333333,7.967020179807399,2.1577346320311706,4,1.5294117647058822
Orthopedists,0.27777777777777773,8.25470225225918,2.292972847849772,3,1.5779733838059504
Banks & Credit Unions,0.43499999999999994,5.664435086813353,2.464029262763808,40,1.7586071669527399
Shaved Ice,0.4166666666666667,8.25470225225918,3.4394592717746586,3,0.8331955809010617
Office Equipment,0.45133333333333325,6.134438716059089,2.7686766738480015,25,1.28582655599267
Swimming Pools,0.34,6.645264339825079,2.2593898755405273,15,1.0348941574672077
Accessories,0.22332730560578648,4.983866688460268,1.1130335190322653,79,1.2839656264941957
Talent Agencies,0.5,9.35331454092729,4.676657270463645,1,1.8856180831641267
Polish,0.35416666666666663,7.967020179807399,2.8216529803484534,4,0.9097861996954475
Watches,0.28888888888888886,7.561555071699234,2.1844492429353344,6,1.6287702606517196
Mini Golf,0.26666666666666666,7.561555071699234,2.0164146857864624,6,1.1792464637310656
Psychiatrists,0.25,9.35331454092729,2.3383286352318224,1,0.0
Airport Shuttles,0.23666666666666666,7.743876628493189,1.832717468743388,5,1.5446988944633235
Massage,0.33216175359032496,5.210179814535757,1.7306224637171113,63,1.2076505957173878
German,0.4083333333333334,7.561555071699234,3.087634987610521,6,1.099697477035596
Child Care & Day Care,0.3277777777777778,6.868407891139289,2.2513114754289894,12,1.419490028211625
Notaries,0.27777777777777773,8.25470225225918,2.292972847849772,3,1.8330302779823358
Auto Detailing,0.33730158730158727,6.308792103203866,2.1279655903663834,21,1.5612590975333902
Diving,0.4166666666666667,8.25470225225918,3.4394592717746586,3,1.6663911618021234
Wholesale Stores,0.3964912280701755,6.4088755617608495,2.541062942031495,19,0.9844241739086651
Casinos,0.3394557823129251,7.407404391871976,2.514486252751099,7,1.2396971322027956
Gelato,0.46875,7.273872999247454,3.4096279683972437,8,0.8720015429245397
Luggage,0.3402777777777778,7.967020179807399,2.7109999222955734,4,1.587674418503869
Public Transportation,0.31111111111111106,7.561555071699234,2.352483800084206,6,1.1601714686495563
Electronics Repair,0.225,8.660167360367344,1.9485376560826526,2,1.8070158058105026
Boat Charters,0.2,9.35331454092729,1.870662908185458,1,0.45175395145262565
Jewelry,0.3829138321995464,5.10481929887793,1.9547059204195498,70,1.285534908121908
Pet Services,0.29327731092436965,4.57419104781576,1.341506450157731,119,1.2927057334288434
Wigs,0.3333333333333333,8.660167360367344,2.886722453455781,2,1.0241527663824812
Korean,0.3561728395061728,6.057477674922961,2.1575090237225605,27,1.1710196335879792
Transportation,0.33103448275862074,5.986018710940816,1.9815786077597186,29,1.5156702266085713
Ear Nose & Throat,0.2833333333333333,7.743876628493189,2.19409837807307,5,1.826033953682132
Meat Shops,0.28611111111111115,6.868407891139289,1.9651278132981858,12,0.9497364001231328
Photographers,0.4318181818181819,6.262272087568974,2.7041629469047845,22,0.7249416484602469
Russian,0.5,9.35331454092729,4.676657270463645,1,1.1499191491521379
Employment Agencies,0.4166666666666667,8.25470225225918,3.4394592717746586,3,1.2041594578792296
Taiwanese,0.375,8.660167360367344,3.247562760137754,2,1.1517817626298765
Building Supplies,0.35777777777777775,5.952117159265135,2.1295352503148592,30,1.3892020268730334
Divorce & Family Law,0.24583333333333335,7.967020179807399,1.9585591275359857,4,1.3997084244475304
Chicken Wings,0.31775362318840567,5.524673144438195,1.7554849085769184,46,1.2748208539846528
Resorts,0.3095238095238096,7.407404391871976,2.292768026055612,7,1.2155297032472958
Local Flavor,0.7055555555555554,5.482113530019399,3.867935657291464,48,1.2747020064867667
Music Venues,0.22186507936507924,5.258969978705189,1.166781791703996,60,1.0985245570983913
Home Inspectors,0.3333333333333333,7.561555071699234,2.520518357233078,6,1.2779421327566267
Beer, Wine & Spirits,0.3370570321151716,4.8989672446737815,1.6512313599191843,86,1.0987810210800346
Peruvian,0.4583333333333333,7.967020179807399,3.651550915745058,4,1.1197439576136345
Gyms,0.26682692307692285,4.708923641785917,1.2564676063419145,104,1.4220212748063465
Health Markets,0.2644927536231884,5.524673144438195,1.461236012840537,46,1.045081492282225
Vocational & Technical School,0.25,9.35331454092729,2.3383286352318224,1,1.699673171197595
Physical Therapy,0.3166666666666666,6.4088755617608495,2.0294772612242684,19,1.1464194286837857
Ethnic Food,0.23956043956043954,5.6897528947976435,1.3630397044680067,39,0.9877668342087147
Dry Cleaning & Laundry,0.4842342342342343,5.04924944772312,2.445019439775835,74,1.5269480327600116
Afghan,0.4444444444444444,8.25470225225918,3.668756556559636,3,1.1598589582353325
Burmese,0.5,9.35331454092729,4.676657270463645,1,0.813770374382247
Herbs & Spices,0.3333333333333333,8.660167360367344,2.886722453455781,2,0.5966715315569778
Private Investigation,0.5,9.35331454092729,4.676657270463645,1,0.0
Social Clubs,0.3055555555555555,8.25470225225918,2.522270132634749,3,1.0913916501751433
Nurseries & Gardening,0.31363636363636355,6.262272087568974,1.964076245646632,22,1.0855615752635546
Gift Shops,0.18333333333333335,8.660167360367344,1.5876973494006799,2,1.2960524935802955
Greek,0.35982905982905955,4.996605714237698,1.7979239364906574,78,1.137127502305497
Home Cleaning,0.3683333333333333,6.3575822673732985,2.341709468482498,20,1.7703426569161618
Funeral Services & Cemeteries,0.5,8.25470225225918,4.12735112612959,3,1.2917581249035897
Leisure Centers,0.5,9.35331454092729,4.676657270463645,1,0.7483314773547882
Veterinarians,0.45128205128205123,4.84245503441044,2.1853130411698394,91,1.4455013968647492
Videographers,0.5,9.35331454092729,4.676657270463645,1,0.816496580927726
Brazilian,0.38888888888888884,8.25470225225918,3.210161986989681,3,0.9495895043876047
Skydiving,0.5,9.35331454092729,4.676657270463645,1,0.4714045207910317
Modern European,0.3333333333333333,8.660167360367344,2.886722453455781,2,1.2529279992994697
Sports Wear,0.18819047619047619,6.134438716059089,1.1544429431364533,25,1.3101783130139015
Bagels,0.31610169491525425,5.27577709702157,1.667682082363598,59,1.2233761652728365
Used, Vintage & Consignment,0.27056650246305425,5.292871530380871,1.4320737379614255,58,1.1979460529032526
Nutritionists,0.2222222222222222,8.25470225225918,1.834378278279818,3,0.8
Convenience Stores,0.29327309236947796,4.9344739331306915,1.4471484295858186,83,1.2974207180697956
Champagne Bars,0.25,8.660167360367344,2.165041840091836,2,1.2612567583916243
Recreation Centers,0.3625,7.967020179807399,2.888044815180182,4,1.0503379820530203
Lighting Fixtures & Equipment,0.29500000000000004,7.050729447933244,2.0799651871403073,10,1.3286680172113592
General Litigation,0.21666666666666667,8.25470225225918,1.7885188213228225,3,1.3564659966250536
Sushi Bars,0.3650709219858154,4.810019758657286,1.7559983480630048,94,1.2052479473790527
Shopping,0.3428831100157686,1.926170407518674,0.6604512997503433,1681,1.2785488384583419
Endodontists,0.2899999999999999,7.743876628493189,2.2457242222630245,5,1.4112886087509116
Cosmetic Surgeons,0.244047619047619,7.967020179807399,1.9443323057863293,4,1.7399712641305316
Internal Medicine,0.3125,7.273872999247454,2.273085312264829,8,1.7609884289550513
Laser Hair Removal,0.2357142857142857,6.645264339825079,1.5663837372444829,15,1.7676446119196134
Cajun/Creole,0.40196078431372545,6.520101196871074,2.6208249908991568,17,1.125321772535121
